품목일련번호,품목명,표시앞,표시뒤,의약품제형,색상,큰제품이미지
200900682,굿스펜연질캡슐(덱시부프로펜),KDGP,-,장방형,투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800029
200900833,마이칼디정,MM분할선D,-,장방형,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800053
200901148,엔에이피정(나프록센나트륨),T21,-,타원형,파랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800080
200903043,리버파워포르테연질캡슐,SC200,-,장방형,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400080
200903210,헤파피스연질캡슐,CGPHP,-,장방형,연두,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148604072451200094
200903378,헤모퀸골드캡슐,KNHQ,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6KEQ
200903392,제로민연질캡슐(디펜히드라민염산염),제로민,-,타원형,청록|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400164
200903482,비오펜연질캡슐(덱시부프로펜),DCD,-,타원형,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031002845800195
200903579,카이로정,T32,분할선,장방형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NNuh6mJov1
200901619,알룬정,HS1,-,타원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800128
200901620,미니메이드정,NK,-,타원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800131
200901818,리버플란연질캡슐,리버플란,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800137
200902301,그날엔정,NKYUNGDONG,-,원형,하양|빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700043
200902364,이프렌에스연질캡슐(덱시부프로펜),SJDX,-,장방형,청록|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv12iojCmo
200902740,코크린정,T36,MO,장방형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6FiD
200902884,이젠이캡슐,이젠이이젠이,-,장방형,파랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv12iojCfp
200308619,리리스정,마크,분할선,장방형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151853651029700064
200102789,잔타놀정,CAZT,-,장방형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500080
200201781,아스노캅셀,ASNKDC,-,장방형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500121
200903737,쿨드림연질캡슐(디펜히드라민염산염),쿨드림,-,타원형,청록|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000023
200903837,마이녹실에스캡슐,현대약품마이녹실S,-,장방형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900015
200904003,덴타칸캡슐,NKDTC,-,장방형,파랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000106
200904073,알벤프리졸정(알벤다졸),GHA,-,장방형,주황,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000124
200904082,로노펜300연질캡슐(덱시부프로펜),RNP,-,타원형,초록|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000130
200905692,클라리틴정(로라타딘),마크분할선10,-,타원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148609556259100171
200905591,판토마그정,KN2,-,장방형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400182
200906073,트랜미정,T7,-,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6I4D
200905562,토코네슘연질캡슐,토코네슘,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900131
200905653,알지엔스피드연질캡슐10밀리그램(세티리진염산염),RZN,-,타원형,보라|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900136
200906473,훼리너프에프캡슐,훼리너프F,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800040
200906330,그날엔큐삼중정,QKYUNGDONG,-,원형,하양|파랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700049
200906384,케라민캡슐,KRMTHP,-,장방형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F68AP
200906301,덴탑플러스캡슐,덴탑플러스덴탑플러스,-,장방형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6FDp
200906254,알러샷연질캡슐(세티리진염산염),A-S,-,타원형,보라|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918800015
200906642,더마화이트정,T,C,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900033
200906966,제로정150mg(덱시부프로펜),마크,X,마름모형,파랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6OTx
200907725,비스칸엔캡슐(바실루스리케니포르미스균),마크NXK,-,장방형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F64Xq
200904308,맥스타제-에스정,YPMS,-,장방형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700023
200904391,핑크프로캡슐,PKCPKC,-,장방형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700047
200904441,프로펜디연질캡슐(덱시부프로펜),프로펜디,-,장방형,노랑|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700074
200904507,다이락스-큐정,CΛ,-,원형,연두,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100140
200904516,쥬르택정(세티리진염산염),CΛJ,분할선,장방형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N-vZRnyppW
200904538,다비움정,C분할선S,분할선,장방형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333323956100025
200904547,헵타마인플러스연질캡슐,헵타마인P,-,타원형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700152
200904590,토마스연질캡슐,TOMAS,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700186
200904644,콘트라스300연질캡슐,콘트라스,-,타원형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F67gX
200904666,아르텍연질캡슐10mg(세티리진염산염),아르텍,-,타원형,보라|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426433479800028
200905283,쎄이네슘연질캡슐,HMC8,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MucEwTxVkE
200905144,복합유디리버연질캡슐,복합유디리버,-,타원형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6S9k
200904990,액티리버골드연질캡슐,ATL-G,-,장방형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661642891500097
200905055,디퓨텐연질캡슐(덱시부프로펜),디퓨텐,-,타원형,노랑|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F68Cb
200905074,케라스트캡슐,MNTKRT,-,장방형,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv5PQjxq2l
200905423,마그롤연질캡슐,마그롤,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426438997500164
200905017,이탄탄플러스캡슐,MTSETTP,-,장방형,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426438997500168
200904880,멜린씨정,ETX,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6BOx
200904915,하드콜연질캡슐,MMHMC,-,장방형,주황|투명,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426438997500195
200904697,리버텍트골드연질캡슐,HKLG,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151499405691800068
200905053,고운자임수정,QS,CKD,타원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032682194400137
201001784,비트리모정,FOL,분할선,원형,분홍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426484987700066
201001804,프리비정,HMPB,-,장방형,노랑,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426484987700075
201001981,큐젠비타정,SL,SC,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NTjOMJUApt
201002100,코큐비타엠정,M분할선10,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488300030
201002190,폴원연질캡슐(폴산),폴원,-,타원형,빨강,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426484987700148
201003043,토코엔지연질캡슐,토코엔지,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426492165100052
200907915,노자임캡슐10000(판크레아틴장용성제피미세정),10.000,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153996362280200051
200908862,아토믹스큐플러스연질캡슐,D-WAMQ,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000021
200908953,셀레트론플러스연질캡슐,ETXSBT,-,장방형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MoqTSVEH2A
201000163,본에존연질캡슐,BJSI,-,장방형,초록,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426467421600098
201000406,원더칼-디츄어블정,ADCX,-,원형,하양,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N_tI6JB9ey
201000674,인코라민프리미어정,ICP,-,타원형,갈색,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v0xp
