path,code,name,shape,color,front,back,shape_class,color_class,front_class,back_class
../data/img\195900043/195900043.jpg,195900043,아네모정,원형,하양,SJΛ,-,5,22,860,1
../data/img\196000011/196000011.jpg,196000011,페니라민정,원형,노랑,YH,-,5,3,1043,1
../data/img\196400046/196400046.jpg,196400046,게루삼정,원형,하양,G,G,5,22,367,104
../data/img\196600011/196600011.jpg,196600011,베스타제정,원형,주황,BESTASE,-,5,13,105,1
../data/img\196600012/196600012.jpg,196600012,베스타제당의정,원형,분홍,BSS,-,5,7,133,1
../data/img\197000037/197000037.jpg,197000037,아로나민골드정,타원형,빨강,Aro-G,Aro-G,8,9,88,42
../data/img\197000040/197000040.jpg,197000040,대웅우루사연질캡슐,장방형,초록,우루사,-,7,17,1225,1
../data/img\197000053/197000053.jpg,197000053,액티피드정,원형,하양,마크분할선AC,분할선,5,22,1176,223
../data/img\197000076/197000076.jpg,197000076,보나링에이정,원형,하양,BN분할선BN,-,5,22,123,1
../data/img\197200084/197200084.jpg,197200084,기모타부정,원형,하양,JEILKT40,-,5,22,496,1
../data/img\197400246/197400246.jpg,197400246,마그밀정,원형,하양,마크,마크,5,22,1137,214
../data/img\197400343/197400343.jpg,197400343,신일브롬헥신염산염정,원형,노랑,R,분할선,5,3,775,223
../data/img\197500016/197500016.jpg,197500016,낙센정,장방형,노랑,N250,-,7,3,697,1
../data/img\197500088/197500088.jpg,197500088,암포젤정,원형,하양,ID,J,5,22,457,116
../data/img\197600345/197600345.jpg,197600345,페리나정,원형,하양,SJP,분할선,5,22,858,223
../data/img\197600412/197600412.jpg,197600412,로프민캡슐,장방형,하양,LPMLPM,-,7,22,620,1
../data/img\197600483/197600483.jpg,197600483,신일비사코딜정,원형,노랑,SIB,-,5,3,839,1
../data/img\197600539/197600539.jpg,197600539,세가톤트로키,원형,노랑,A,A,5,3,16,26
../data/img\197700120/197700120.jpg,197700120,부루펜정200밀리그램,장방형,하양,마크,BR2,7,22,1137,56
../data/img\197700322/197700322.jpg,197700322,액티페린정,원형,하양,YI,분할선,5,22,1053,223
../data/img\197800027/197800027.jpg,197800027,데카키논캡슐,장방형,주황,DECDEC,-,7,13,276,1
../data/img\197800212/197800212.jpg,197800212,로파인캡슐,장방형,하양,TGLOPA,-,7,22,934,1
../data/img\197800391/197800391.jpg,197800391,메코민캡슐,장방형,빨강,SINILMCM500,-,7,9,849,1
../data/img\197800466/197800466.jpg,197800466,리나치올캡슐375밀리그램,장방형,초록,HDPRIH375,-,7,17,417,1
../data/img\197900219/197900219.jpg,197900219,마스질정,원형,노랑,TG분할선MG,-,5,3,943,1
../data/img\197900411/197900411.jpg,197900411,스파토민캡슐,장방형,노랑,CHO-ASPA,-,7,3,179,1
../data/img\198000170/198000170.jpg,198000170,포리부틴정,원형,하양,SAMIL분할선PB1,-,5,22,813,1
../data/img\198000304/198000304.jpg,198000304,뮤코론캡슐375밀리그램,장방형,초록,BKCMC,-,7,17,115,1
../data/img\198000440/198000440.jpg,198000440,오로페롤연질캡슐100밀리그램,타원형,연두,SIE,-,8,11,841,1
../data/img\198100078/198100078.jpg,198100078,바로론정,원형,하양,VLRKJ,-,5,22,997,1
../data/img\198100119/198100119.jpg,198100119,우루사정100밀리그램,원형,하양,UDCA,D분할선W,5,22,974,96
../data/img\198200120/198200120.jpg,198200120,타라부틴정,원형,하양,TB1KJ,-,5,22,921,1
../data/img\198200504/198200504.jpg,198200504,베부틴정,원형,하양,YONGIL분할선TMB,-,5,22,1063,1
../data/img\198300064/198300064.jpg,198300064,아나프록스정,타원형,파랑,ANA275,-,8,20,51,1
../data/img\198300343/198300343.jpg,198300343,부루펜정400밀리그램,장방형,하양,마크,BR4,7,22,1137,57
../data/img\198300374/198300374.jpg,198300374,엠코발캡슐,장방형,빨강,D-WD-WMCBMCB,-,7,9,253,1
../data/img\198300476/198300476.jpg,198300476,티메틴정,원형,하양,TIM분할선100,분할선,5,22,947,223
../data/img\198301005/198301005.jpg,198301005,리나치올캡슐500밀리그람,장방형,하양,HDPRHC500,-,7,22,416,1
../data/img\198301037/198301037.jpg,198301037,두리방연질캡슐,장방형,갈색,DURIBANG,-,7,0,305,1
../data/img\198400182/198400182.jpg,198400182,베노론캡슐,장방형,하양,VENORON300,-,7,22,992,1
../data/img\198400399/198400399.jpg,198400399,카마졸질정,기타,하양,KW,-,0,22,597,1
../data/img\198401161/198401161.jpg,198401161,세나서트2밀리그람질정,장방형,연두,마크,CS,7,11,1137,76
../data/img\198500049/198500049.jpg,198500049,비타메진캡슐50밀리그램,장방형,빨강,VM50VM50,-,7,9,998,1
../data/img\198500050/198500050.jpg,198500050,이노엔비타메진캡슐,장방형,빨강,VMVM,-,7,9,999,1
../data/img\198500384/198500384.jpg,198500384,포리라제정,장방형,연두,ANP,-,7,11,56,1
../data/img\198500436/198500436.jpg,198500436,엠코발500마이크로그램캡슐,장방형,빨강,D-WD-WMCBMCB,-,7,9,253,1
../data/img\198500565/198500565.jpg,198500565,이부펜200밀리그램정,원형,분홍,TGIBT,-,5,7,933,1
../data/img\198500893/198500893.jpg,198500893,에세푸릴캡슐,장방형,노랑,ECF200,-,7,3,319,1
../data/img\198501126/198501126.jpg,198501126,이텍스이부프로펜정400mg,장방형,하양,ETX,I분할선B,7,22,338,114
../data/img\198501220/198501220.jpg,198501220,제텐씨정,타원형,초록,Zn-C,-,8,17,1085,1
../data/img\198601047/198601047.jpg,198601047,디크로닉정,원형,파랑,마크,DC125,5,20,1137,85
../data/img\198601210/198601210.jpg,198601210,신일트리메부틴말레산염정,원형,하양,M036,M036,5,22,629,129
../data/img\198601222/198601222.jpg,198601222,메디락에스장용캡슐,장방형,하양,메디락S5억생균,-,7,22,1186,1
../data/img\198601284/198601284.jpg,198601284,아졸정,타원형,파랑,ALPHA,-,8,20,42,1
../data/img\198601285/198601285.jpg,198601285,파메콘정,장방형,하양,PA,-,7,22,736,1
../data/img\198601389/198601389.jpg,198601389,지엘로페라미드염산염캡슐,장방형,노랑,CrwLope,-,7,3,234,1
../data/img\198601398/198601398.jpg,198601398,가네카정,원형,하양,마크,cr,5,22,1137,207
../data/img\198601478/198601478.jpg,198601478,토레스정,원형,하양,TL,분할선,5,22,951,223
../data/img\198700060/198700060.jpg,198700060,레큐틴정,원형,연두,HTRCT,분할선,5,11,442,223
../data/img\198700309/198700309.jpg,198700309,엘칸츄정,원형,하양,-,-,5,22,0,1
../data/img\198700405/198700405.jpg,198700405,베아제정,장방형,연두,BEARSE,-,7,11,104,1
../data/img\198700430/198700430.jpg,198700430,알마겔정,원형,하양,YH,AMG,5,22,1043,34
../data/img\198700431/198700431.jpg,198700431,그랑페롤연질캡슐400아이유,타원형,노랑|투명,G400,-,8,4,370,1
../data/img\198700477/198700477.jpg,198700477,자이드캡슐,장방형,노랑,ANPZD,-,7,3,58,1
../data/img\198700511/198700511.jpg,198700511,헬민200연질캡슐,장방형,갈색,헬민200,-,7,0,1270,1
../data/img\198700641/198700641.jpg,198700641,삼천당산화마그네슘정250밀리그람,원형,하양,SCD,MO,5,22,818,137
../data/img\198700731/198700731.jpg,198700731,아낙스정,장방형,파랑,ANAX,-,7,20,53,1
../data/img\198700789/198700789.jpg,198700789,벤투룩스30mg캡슐,장방형,노랑,SF68V-30,-,7,3,834,1
../data/img\198701124/198701124.jpg,198701124,오스틴이부프로펜정400밀리그램,장방형,하양,Wal07,-,7,22,1028,1
../data/img\198701352/198701352.jpg,198701352,트레스오릭스훠트정,기타,분홍,마크,마크,0,7,1137,214
../data/img\198701383/198701383.jpg,198701383,메디락디에스장용캡슐,장방형,하양,메디락DS10억생균,-,7,22,1185,1
../data/img\198701478/198701478.jpg,198701478,자비론정,타원형,파랑,S분할선J,S분할선J,8,20,908,168
../data/img\198701583/198701583.jpg,198701583,엘씨500연질캡슐,장방형,주황,LC500,-,7,13,607,1
../data/img\198701672/198701672.jpg,198701672,지엘소브레롤캡슐,장방형,초록,CrwSob-100,-,7,17,235,1
../data/img\198701721/198701721.jpg,198701721,나르펜정400밀리그램,원형,주황,NF,CD,5,13,703,64
../data/img\198701888/198701888.jpg,198701888,젠텔정400밀리그람,타원형,주황,SK&F----,분할선,8,13,862,223
../data/img\198800042/198800042.jpg,198800042,버미플루정,원형,하양,F500,F500,5,22,355,101
../data/img\198800057/198800057.jpg,198800057,암펙솔정,원형,하양,HT분할선APX,-,5,22,444,1
../data/img\198800154/198800154.jpg,198800154,젤콤정,원형,분홍,△▽△ZELCOM▽△▽,ZELCOM분할선CKD,5,7,1105,204
../data/img\198800190/198800190.jpg,198800190,베스타제포르테정,장방형,하양,BSF,-,7,22,132,1
../data/img\198800193/198800193.jpg,198800193,하노백연질캡슐1000아이유,장방형,노랑|투명,HAN1000,-,7,4,409,1
../data/img\198800444/198800444.jpg,198800444,그랑페롤연질캡슐1000아이유,장방형,갈색|투명,G1000,-,7,1,369,1
../data/img\198800558/198800558.jpg,198800558,암브렉트정,원형,하양,D-W,A분할선B,5,22,249,43
../data/img\198800788/198800788.jpg,198800788,셀라인연질캡슐500밀리그램,장방형,주황,BP,-,7,13,126,1
../data/img\198800901/198800901.jpg,198800901,크록신정250밀리그램,원형,노랑,JYC,분할선,5,3,515,223
../data/img\198800902/198800902.jpg,198800902,트리마정200밀리그램,원형,노랑,Jy,분할선,5,3,521,223
../data/img\198800911/198800911.jpg,198800911,소부날캡슐200mg,장방형,초록,JYSBN,-,7,17,519,1
../data/img\198801103/198801103.jpg,198801103,오스테민캡슐,장방형,빨강,SAMJINOSTEMIN,-,7,9,815,1
../data/img\198801117/198801117.jpg,198801117,트레스비정,타원형,갈색,마크,분할선,8,0,1137,223
../data/img\198801525/198801525.jpg,198801525,뮤테란캡슐200밀리그램,장방형,하양,MUC200한화,-,7,22,682,1
../data/img\198801648/198801648.jpg,198801648,메리틴정,원형,하양,마크,ME,5,22,1137,132
../data/img\198801657/198801657.jpg,198801657,대화이부프로펜정400밀리그램,장방형,주황,마크,-,7,13,1137,1
../data/img\198802326/198802326.jpg,198802326,가레오연질캡슐500밀리그램,장방형,하양,GAL500,-,7,22,372,1
../data/img\198802327/198802327.jpg,198802327,마로겔정500밀리그람,원형,하양,CAMAR5,-,5,22,152,1
../data/img\198802329/198802329.jpg,198802329,가레오연질캡슐,타원형,하양,GAL250,-,8,22,371,1
../data/img\198802349/198802349.jpg,198802349,카로마스텐질정100밀리그램,기타,하양,YPCΛ,100,0,22,1066,4
../data/img\198802479/198802479.jpg,198802479,스메르정,타원형,하양,SLEEP,분할선,8,22,867,223
../data/img\198802481/198802481.jpg,198802481,알삭센정,타원형,파랑,ARTHA,-,8,20,66,1
../data/img\198900129/198900129.jpg,198900129,애드칼정,타원형,하양,ADCAL,분할선,8,22,26,223
../data/img\198900578/198900578.jpg,198900578,크로부틴정,원형,하양,C분할선B,-,5,22,244,1
../data/img\198900699/198900699.jpg,198900699,록솔정,원형,하양,RX,분할선,5,22,803,223
../data/img\198900712/198900712.jpg,198900712,알리코이부프로펜정400mg,장방형,주황,A분할선C,-,7,13,91,1
../data/img\198900920/198900920.jpg,198900920,폭센정275밀리그램,장방형,파랑,마크,분할선,7,20,1137,223
../data/img\198901021/198901021.jpg,198901021,뮤코스텐캡슐200밀리그램,장방형,초록,MKMU2,-,7,17,654,1
../data/img\198901605/198901605.jpg,198901605,영일염산암브록솔정,원형,하양,Y분할선I,40,5,22,1077,18
../data/img\198901887/198901887.jpg,198901887,싸이베린정,원형,하양,마크CVR,분할선,5,22,1147,223
../data/img\198901915/198901915.jpg,198901915,신일이부프로펜정400밀리그람,원형,주황,IP분할선4,SI,5,13,478,159
../data/img\198901916/198901916.jpg,198901916,신일소브레롤캡슐200밀리그램,장방형,초록,SINILSBR　　　200,-,7,17,850,1
../data/img\198901917/198901917.jpg,198901917,톨시렌연질캡슐,장방형,초록,TOLCILEN,-,7,17,953,1
../data/img\198901918/198901918.jpg,198901918,신일트리메부틴말레산염정200밀리그램,원형,하양,M분할선200,-,5,22,693,1
../data/img\198902058/198902058.jpg,198902058,아제인캡슐,장방형,파랑,ALPHAAZE,-,7,20,43,1
../data/img\198902101/198902101.jpg,198902101,레보시톤연질캡슐,장방형,갈색,YPL,-,7,0,1070,1
../data/img\198902158/198902158.jpg,198902158,다이투스정,원형,노랑,DTS,분할선,5,3,304,223
../data/img\198902527/198902527.jpg,198902527,다제스캡슐,장방형,하양|주황|투명,HANLIMHANLIM,-,7,25,411,1
../data/img\199000005/199000005.jpg,199000005,바로코민정,타원형,빨강,SP,VΛT,8,9,883,195
../data/img\199000139/199000139.jpg,199000139,시스타인캡슐,장방형,초록,DPCCST,-,7,17,296,1
../data/img\199000361/199000361.jpg,199000361,엘칸정330밀리그램,원형,하양,ID,L,5,22,457,122
