path,code,name,shape,color,front,back,shape_class,color_class,front_class,back_class
/content/drive/MyDrive/img/199700553/199700553_90.jpg,199700553,큐란정75밀리그램,오각형,분홍,ID,75,4,7,457,24
/content/drive/MyDrive/img/198802349/198802349_58.jpg,198802349,카로마스텐질정100밀리그램,기타,하양,YPCΛ,100,0,22,1066,4
/content/drive/MyDrive/img/201907177/201907177_23.jpg,201907177,투엑스비골드100정,타원형,빨강,2XB,JHS,8,9,8,118
/content/drive/MyDrive/img/201902614/201902614_79.jpg,201902614,마인트롤정,원형,갈색,D05,마크,5,0,262,214
/content/drive/MyDrive/img/201405439/201405439_26.jpg,201405439,디소론캡슐,장방형,하양,KKDIO,-,7,22,556,1
/content/drive/MyDrive/img/201308550/201308550_40.jpg,201308550,슬림비플러스정,삼각형,노랑,마크,SP,3,3,1137,161
/content/drive/MyDrive/img/201900949/201900949_97.jpg,201900949,알룬슬림정,타원형,분홍,AlS,-,8,7,84,1
/content/drive/MyDrive/img/201205043/201205043_12.jpg,201205043,고운자임맘정,기타,분홍,마크,Mom,0,7,1137,141
/content/drive/MyDrive/img/201908384/201908384_6.jpg,201908384,유미오틴정,원형,하양,JB,분할선,5,22,495,223
/content/drive/MyDrive/img/198701721/198701721_95.jpg,198701721,나르펜정400밀리그램,원형,주황,NF,CD,5,13,703,64
/content/drive/MyDrive/img/201501809/201501809_31.jpg,201501809,베아라제정,장방형,연두,HKB,-,7,11,422,1
/content/drive/MyDrive/img/201904588/201904588_24.jpg,201904588,파인에스정,삼각형,노랑,마크N,-,3,3,1161,1
/content/drive/MyDrive/img/201604189/201604189_70.jpg,201604189,몰바렌에스캡슐,장방형,노랑,SNPMS,-,7,3,875,1
/content/drive/MyDrive/img/198400399/198400399_32.jpg,198400399,카마졸질정,기타,하양,KW,-,0,22,597,1
/content/drive/MyDrive/img/198701583/198701583_77.jpg,198701583,엘씨500연질캡슐,장방형,주황,LC500,-,7,13,607,1
/content/drive/MyDrive/img/200403333/200403333_60.jpg,200403333,에센비정,사각형,갈색,E,마크,2,0,315,214
/content/drive/MyDrive/img/200009088/200009088_60.jpg,200009088,로와치넥스캡슐,기타,노랑|투명,-,-,0,4,0,1
/content/drive/MyDrive/img/201802334/201802334_82.jpg,201802334,마그포스액티브연질캡슐,타원형,갈색,MFAC,-,8,0,636,1
/content/drive/MyDrive/img/200403646/200403646_56.jpg,200403646,웰비타연질캡슐,장방형,갈색,SKWVT,-,7,0,864,1
/content/drive/MyDrive/img/202003410/202003410_64.jpg,202003410,티엔코연질캡슐,타원형,주황|투명,TINK,-,8,14,950,1
/content/drive/MyDrive/img/199501958/199501958_85.jpg,199501958,판디탈정,장방형,연두,PANDITAL,-,7,11,737,1
