품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,Unnamed: 29
201205274,이디포스정100밀리그램(실데나필시트르산염),19560004,(주)유한양행,마름모형의푸른색필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426616587000010,Y분할선H,100,마름모형,파랑,-,-,-,14,10.5,5.7,20120523,02590,기타의비뇨생식기관및항문용약,전문의약품,20120531,필름코팅정,-,-,-,-,-,-,20170909,
201206330,이디포스정50mg(실데나필시트르산염),19560004,(주)유한양행,마름모형의푸른색필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426622886300093,YH,50,마름모형,파랑,-,-,-,11.4,8.2,4.7,20120813,02590,기타의비뇨생식기관및항문용약,전문의약품,20120731,필름코팅정,-,-,-,-,-,-,20170909,
199802300,로제펜정200밀리그람(이부프로펜제피세립),19580003,알보젠코리아(주),회백색의장용성세립이함유된백색의타원형장용성정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427567771100146,MD2,RF,마름모형,하양,-,-,-,13,7,4,20060306,01140,해열.진통.소염제,일반의약품,19981017,장용정,-,-,-,-,-,-,-,
199802301,로제펜정400밀리그람(이부프로펜제피세립),19580003,알보젠코리아(주),회백색의장용성세립이함유된백색의타원형장용성정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427567771100149,MD4,RF,마름모형,하양,-,-,-,16,11,5,20060223,01140,해열.진통.소염제,일반의약품,19981017,장용정,-,-,-,-,-,-,-,
200410083,비아그라정100밀리그람(실데나필시트르산염),2021005633,비아트리스코리아(주),약간둥근다이아몬드형의푸른색필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N_xmK9Ife-,마크,VGR100,마름모형,파랑,-,-,-,14.1,10.4,5.0,20041222,02590,기타의비뇨생식기관및항문용약,전문의약품,20040503,필름코팅정,pfizer,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938657883200003,-,r0329,-,20170811,
199901648,더모픽스질정(세르타코나졸질산염),19630001,부광약품(주),백색내지미색의평평한장사방형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NpHokfzOCM,DMV,-,마름모형,하양,-,-,-,25.6,11.1,4.8,20080201,02650,기생성피부질환용제,전문의약품,19991109,질정,-,-,-,-,-,-,20211005,
200000925,비스칸정(바실루스폴리퍼멘티쿠스엔.에스피균),19570004,(주)바이넥스,백색의마름모형의정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427698198900031,B분할선S,분할선,마름모형,하양,-,-,-,11.1,8.0,4.6,20041222,02370,정장제,일반의약품,20001109,나정,-,-,-,-,-,-,-,
200410081,비아그라정25밀리그람(실데나필시트르산염),2021005633,비아트리스코리아(주),약간둥근다이아몬드형의푸른색필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N_xmK9IfeR,마크,VGR25,마름모형,파랑,-,-,-,9.2,6.7,3.0,20041222,02590,기타의비뇨생식기관및항문용약,전문의약품,20040503,필름코팅정,pfizer,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938657883200003,-,r0329,-,20170811,
200410082,비아그라정50밀리그람(실데나필시트르산염),2021005633,비아트리스코리아(주),약간둥근다이아몬드형의푸른색필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N_xmK9Ifej,마크,VGR50,마름모형,파랑,-,-,-,11.2,8.2,4.0,20041222,02590,기타의비뇨생식기관및항문용약,전문의약품,20040503,필름코팅정,pfizer,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938657883200003,-,r0329,-,20170811,
199907321,쓰리티씨정150밀리그램(라미부딘),20161652,(주)글락소스미스클라인,흰색의다이아몬드형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6CjQ,GX분할선CJ7,GX분할선CJ7,마름모형,하양,-,-,-,14,6.9,4.4,20110602,06290,기타의화학요법제,전문의약품,19991230,필름코팅정,-,-,-,-,-,-,20210729,
