품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,Unnamed: 29
200903964,로큅정0.25밀리그램(로피니롤염산염),19540008,(주)대웅제약,흰색의오각형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333323956000098,D.W,0,오각형,하양,-,-,-,8.1,8.1,3.8,20090714,01190,기타의중추신경용약,전문의약품,20090608,필름코팅정,-,-,-,-,-,-,-,
200903993,로큅정1밀리그램(로피니롤염산염),19540008,(주)대웅제약,녹색의오각형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661642891600062,D.W,1,오각형,연두,-,-,-,8.1,8.1,4.0,20090714,01190,기타의중추신경용약,전문의약품,20090604,필름코팅정,-,-,-,-,-,-,-,
200907771,도파로핀정1밀리그램(로피니롤염산염),19540006,일동제약(주),양면이볼록한오각형의연한청록색의필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500085,마크ID1,마크,오각형,파랑,-,-,-,7.54,7.5,4.5,20091124,01190,기타의중추신경용약,전문의약품,20091028,필름코팅정,오각형,오각형,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938647484100165,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938647484100165,r0180,r0180,-,
200904346,로킨스정1밀리그램(로피니롤염산염),19620001,신풍제약(주),녹색의오각형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333339425900085,마크,1,오각형,연두,-,-,-,7.4,3.9,3.9,20091009,01190,기타의중추신경용약,전문의약품,20090622,필름코팅정,SP|5P|dS|d5,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900160,-,r0053,-,-,
200904629,도파프로정0.25밀리그램(로피니롤염산염),19860002,제일약품(주),흰색의오각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6Iiz,025,JI,오각형,하양,-,-,-,8,5,4.5,20100217,01190,기타의중추신경용약,전문의약품,20090629,필름코팅정,-,-,-,-,-,-,20181130,
200904345,로킨스정0.25밀리그램(로피니롤염산염),19620001,신풍제약(주),흰색의오각형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333339425900091,마크,0,오각형,하양,-,-,-,7.4,3.9,3.9,20091009,01190,기타의중추신경용약,전문의약품,20090622,필름코팅정,SP|5P|dS|d5,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900160,-,r0053,-,-,
200904585,도파프로정1.0밀리그램(로피니롤염산염),19860002,제일약품(주),녹색의오각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6Ihe,I,JI,오각형,연두,-,-,-,8,5,4.5,20100217,01190,기타의중추신경용약,전문의약품,20090629,필름코팅정,-,-,-,-,-,-,20181130,
200904640,뉴큅정1밀리그램(로피니롤염산염),19560004,(주)유한양행,녹색의오각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O6qormNsi0,YH,1,오각형,연두,-,-,-,7.5,7.5,3.9,20090720,01190,기타의중추신경용약,전문의약품,20090630,필름코팅정,-,-,-,-,-,-,20181130,
200904641,뉴큅정0.25밀리그램(로피니롤염산염),19560004,(주)유한양행,흰색의오각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O6qormNshZ,YH,025,오각형,하양,-,-,-,7.5,7.5,3.9,20090720,01190,기타의중추신경용약,전문의약품,20090630,필름코팅정,-,-,-,-,-,-,20181130,
200905216,파키놀정0.25밀리그램(로피니롤염산염),19690005,명인제약(주),흰색의양면이볼록한오각형의필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426433479800133,PA,마크,오각형,하양,-,-,-,7.5,5,3.3,20090828,01190,기타의중추신경용약,전문의약품,20090710,필름코팅정,-,꽃잎|마름모,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900082,-,r0027,20211014,
