품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,Unnamed: 29
201003156,사브정2.5밀리그램(에스암로디핀베실산염2.5수화물),19700003,일성신약(주),분할선이새겨진엷은황색의육각형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426492165100101,사브,분할선,육각형,노랑,-,-,-,8.26,4.58,2.3,20111017,02140,혈압강하제,전문의약품,20100429,나정,-,-,-,-,-,-,20200421,
201004753,에피언트정5밀리그램(프라수그렐염산염),20161789,한국다이이찌산쿄(주),황색의육각형모양필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NcelJgSVnS,5MG,4760,육각형,노랑,-,-,-,9.9,4.7,3.1,20100816,02180,동맥경화용제,전문의약품,20100729,필름코팅정,-,-,-,-,-,-,20190502,
201004754,에피언트정10밀리그램(프라수그렐염산염),20161789,한국다이이찌산쿄(주),미황색의육각형모양필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NcelJgSVno,10MG,4759,육각형,주황,-,-,-,11.2,5.3,3.6,20100816,02180,동맥경화용제,전문의약품,20100729,필름코팅정,-,-,-,-,-,-,20190502,
201005500,카나브정120밀리그램(피마사르탄칼륨삼수화물),19880005,(주)보령,연한주황색의한면에분할선이있고각모서리가둥근육각형의볼록한필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333320801300068,B분할선R,FMS12,육각형,주황,-,-,-,9.79,5,5,20101230,02140,혈압강하제,전문의약품,20100909,필름코팅정,-,-,-,-,-,-,20201230,
201005501,카나브정60밀리그램(피마사르탄칼륨삼수화물),19880005,(주)보령,노란색의한면에분할선이있고각모서리가둥근육각형의볼록한필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333320801300056,B분할선R,FMS6,육각형,노랑,-,-,-,8,4,4,20101230,02140,혈압강하제,전문의약품,20100909,필름코팅정,-,-,-,-,-,-,20210309,
201205347,포르테브이정100밀리그램(실데나필시트르산염),19760002,경동제약(주),보라색의육각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426616587000029,F분할선V,100,육각형,보라,-,-,-,13.1,10.25,5.7,20120608,02590,기타의비뇨생식기관및항문용약,전문의약품,20120604,필름코팅정,-,-,-,-,-,-,20170909,
201205536,자이그라정100밀리그램(실데나필시트르산염),19550015,(주)동구바이오제약,푸른색의육각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MYVLzDTTbZ,D분할선C,100,육각형,파랑,-,-,-,14.4,9.7,5,20120627,02590,기타의비뇨생식기관및항문용약,전문의약품,20120614,필름코팅정,-,-,-,-,-,-,20170909,
201205539,칸데그라정(실데나필시트르산염),19870008,(주)경보제약,푸른색의육각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426616587000084,K분할선b,100,육각형,파랑,-,-,-,14,9,5.58,20120626,02590,기타의비뇨생식기관및항문용약,전문의약품,20120614,필름코팅정,-,-,-,-,-,-,20170909,
201205654,에이치-유정100밀리그램(실데나필시트르산염),19580004,안국약품(주),푸른색의육각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426616587000140,AG,S1분할선00,육각형,파랑,-,-,-,14,9.5,6.1,20120703,02590,기타의비뇨생식기관및항문용약,전문의약품,20120620,필름코팅정,-,-,-,-,-,-,20170909,
201206020,비야정100mg(실데나필시트르산염),19880003,동성제약(주),푸른색의육각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426622886300006,DS,1분할선00,육각형,파랑,-,-,-,14.4,9.8,5.8,20120724,02590,기타의비뇨생식기관및항문용약,전문의약품,20120704,필름코팅정,-,-,-,-,-,-,20170909,
201201693,프리야정100밀리그램(실데나필시트르산염),19580003,알보젠코리아(주),파랑색의육각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426597943600196,K분할선W,100,육각형,파랑,-,-,-,14.31,10.15,5.35,20120504,02590,기타의비뇨생식기관및항문용약,전문의약품,20120320,필름코팅정,-,-,-,-,-,-,20170909,
201201694,유니그라정100밀리그램(실데나필시트르산염),19560010,한국유니온제약(주),내수용:파랑색의육각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426597943600199,UK,분할선,육각형,파랑,-,-,-,14.25,4.55,5.2,20120516,02590,기타의비뇨생식기관및항문용약,전문의약품,20120320,필름코팅정,-,-,-,-,-,-,20200710,
201204970,이레나필정100밀리그램(실데나필시트르산염),19570014,환인제약(주),육각형의푸른색필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426609286000102,W분할선I,100,육각형,파랑,-,-,-,14.1,10.4,5,20120614,02590,기타의비뇨생식기관및항문용약,전문의약품,20120523,필름코팅정,-,-,-,-,-,-,20170909,
201204975,비아맥스정100밀리그램(실데나필시트르산염),19560005,아주약품(주),육각형의푸른색필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426609286000110,ΛJU,1분할선00,육각형,파랑,-,-,-,14,9,5.58,20120706,02590,기타의비뇨생식기관및항문용약,전문의약품,20120523,필름코팅정,-,-,-,-,-,-,20170909,
201207507,비아리스정(실데나필시트르산염),19590006,오스틴제약(주),육각형의푸른색필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426633330100060,WJ,S1분할선00,육각형,파랑,-,-,-,14.3,9.7,5.7,20130409,02590,기타의비뇨생식기관및항문용약,전문의약품,20121030,필름코팅정,-,-,-,-,-,-,20170909,
201207067,푸로그라정100밀리그램(실데나필시트르산염),19580012,하나제약(주),보라색의육각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031925392800120,G분할선R,100,육각형,보라,-,-,-,13.1,10.25,5.7,20121102,02590,기타의비뇨생식기관및항문용약,전문의약품,20121005,필름코팅정,-,-,-,-,-,-,20170909,
201207367,아그나필정50mg(실데나필시트르산염),19580008,대원제약(주),육각형의푸른색필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426628044100181,DWP,S분할선50,육각형,파랑,-,-,-,11.5,7.5,4.3,20130315,02590,기타의비뇨생식기관및항문용약,전문의약품,20121023,필름코팅정,-,-,-,-,-,-,-,
201209444,발탁스정100mg(실데나필시트르산염),19680005,삼익제약(주),푸른색의육각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N5KPMpzPV0,100,N분할선마크,육각형,파랑,-,-,-,13,10,6,20121231,02590,기타의비뇨생식기관및항문용약,전문의약품,20121206,필름코팅정,-,111|III|三|≡|삼,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938661567700130,-,r0440,20170909,
199100638,코오롱브렉신20밀리그램정(피록시캄베타-싸이클로덱스트린),19650002,코오롱제약(주),황색내지레몬빛황색의육각형정제이다.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151369812688100046,B분할선20,-,육각형,노랑,-,-,-,10.3,10.3,4.8,20060303,01140,해열.진통.소염제,전문의약품,19911220,나정,-,-,-,-,-,-,-,
