품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,Unnamed: 29
200906065,프로코라란정7.5밀리그램(이바브라딘염산염),20161020,한국세르비에(주),한면에모양|다른면에“7.5”가새겨진흐린노란주황색의삼각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152829795999100098,7.5,마크,삼각형,주황,-,-,-,7,5,3.1,20090918,02190,기타의순환계용약,전문의약품,20090731,필름코팅정,-,삼각형,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938644048800008,-,r0068,20171110,
200906599,라파뮨정2밀리그램(시롤리무스),20160560,한국화이자제약(주),삼각형의황색～미황색당의정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900186,RAPAMUNE2mg,-,삼각형,노랑,-,-,-,10,10,4,20120326,01420,자격요법제(비특이성면역억제제를포함),전문의약품,20090831,당의정,-,-,-,-,-,-,20220610,
200904517,하이점프츄어블정,19920004,광동제약(주),특이한모양을가진분홍색(딸기향)|주황색(오렌지향)의씹어먹는정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700134,마크,마크,삼각형,분홍,-,-,-,12.3,12.3,5.3,20090903,01190,기타의중추신경용약,일반의약품,20090626,추어블정(저작정),강아지|개,강아지|개,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938657883300006,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938657883300006,r0393,r0393,-,
201103179,닥사스정500마이크로그램(로플루밀라스트),20161740,한국아스트라제네카(주),노란색으로한면에는‘D'가새겨진D모양의필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426549018100078,마크,-,삼각형,노랑,-,-,-,9.0,7.0,4.0,20111007,02290,기타의호흡기관용약,전문의약품,20110516,필름코팅정,D,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938661567700124,-,r0438,-,20180715,
201200615,보라린큐정,19550014,(주)제뉴파마,미황색의삼각형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147809066501400032,BP,분할선,삼각형,노랑,-,-,-,12.1,12.1,5.9,20120216,01140,해열.진통.소염제,일반의약품,20120127,나정,-,-,-,-,-,-,-,
201203744,누리그라정100밀리그램(실데나필시트르산염),19540008,(주)대웅제약,분할선을가진연두색의모서리가둥근삼각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426609286000007,D.W,분할선,삼각형,연두,-,-,-,15.33,8.1,6.6,20120629,02590,기타의비뇨생식기관및항문용약,전문의약품,20120501,필름코팅정,-,-,-,-,-,-,20170909,
201203745,누리그라정50밀리그램(실데나필시트르산염),19540008,(주)대웅제약,분할선을가진연두색의모서리가둥근삼각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426609286000010,D.W,5분할선0,삼각형,연두,-,-,-,12.06,5.77,4.8,20120629,02590,기타의비뇨생식기관및항문용약,전문의약품,20120501,필름코팅정,-,-,-,-,-,-,20170909,
201206553,인라이타정5밀리그램(엑시티닙),20160560,한국화이자제약(주),빨간색삼각형모양의필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031483550000180,5XNB,마크,삼각형,빨강,-,-,-,7.9,7.85,3.9,20121218,04210,항악성종양제,전문의약품,20120822,필름코팅정,-,pfizer,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938657883200003,-,r0329,20211207,
201300894,카니트론정1밀리그램(그라니세트론염산염),19550001,이연제약(주),양면이볼록한삼각형의흰색필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NNuh6mJoxL,ry,-,삼각형,하양,-,-,-,7.1,7.4,2.8,20130315,02350,최토제|진토제,전문의약품,20130111,필름코팅정,-,-,-,-,-,-,20150325,
199600090,안타볼정,19860001,한국휴텍스제약(주),백색의삼각원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427290893900149,HTATB,-,삼각형,하양,-,-,-,10.4,10.4,4.3,20051102,02340,제산제,일반의약품,19960402,나정,-,-,-,-,-,-,-,
199400179,동광오플록사신정,19560001,동광제약(주),미황백색의필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427311457100011,마크,-,삼각형,하양,-,-,-,8.5,8.5,3.8,20050902,06290,기타의화학요법제,전문의약품,19940521,필름코팅정,ㄷㄱ|G,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938650963600169,-,r0247,-,20220327,
198900508,비스루트에스정(바실루스폴리퍼멘티쿠스엔.에스피균)(수출용),19570004,(주)바이넥스,백색의삼각형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333320801300086,마크,-,삼각형,하양,-,-,-,9.1,8.8,3.6,20041222,02370,정장제,일반의약품,19890104,나정,Bn|Bi|B1,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938644048800092,-,r0094,-,20131219,
199301982,진코멕신정(은행엽건조엑스),19720014,고려제약(주),연두색의삼각형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154597932817100006,마크,-,삼각형,연두,-,-,-,11,11,4,20060828,02190,기타의순환계용약,일반의약품,19930522,필름코팅정,1|I,-,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938644048800023,-,r0073,-,-,
